Disaster code,Dates,Incident,Climate/N
AL-00081,06/21/2017,Tropical Storm Cindy with Tornado and Flooding,c
CA-00275,08/11/2017,Detwiler Fire,c
MI-00058,08/02/2017,Severe Storms and Flooding,c
IA-00071,08/03/2017,"Severe Weather, Tornadoes, High Winds, Heavy Rains, Flash Flooding and Riverine Flooding",c
CO-00078,08/10/2017,"Severe Thunderstorm, Hail, Straight-line Winds and Tornadoes",c
KY-00065,08/15/2017,"Torrential Rains, Flash Flooding and Mudslides",c
LA-00078,08/04/2017,Torrential Rainfall and Flooding,c
WV-00046,07/28/2017,"Severe Storms, Flooding, Landslides, and Mudslides",c
OK-00117,08/05/2017,"Tornadoes, Severe Storms, Straight-line Winds and Flooding",c
TN-00106,05/27/2017,Severe Thunderstorms with Damaging Winds,c
TX-00485,6/30/2017,"Severe Storms, Straight-line Winds, Heavy Rains, Hail and Flooding",c
TX-00487,08/25/2017,Hurricane Harvey,c
TX-00488,09/04/2017,Hurricane Harvey,c
VI-00009,09/05/2017,Hurricane Irma,c
HI-00041,09/11/2017,Marco Polo Fire,n
PR-00029,09/10/2017,Hurricane Irma,c
FL-00130,09/04/2017,Hurricane Irma,c
IL-00050,09/15/2017,Severe Storms and Flooding,c
WI-00061,09/18/2017,Heavy Rains and Flash Flooding,c
VI-00010,09/15/2017,Hurricane Irma,c
GA-00100,09/07/2017,Hurricane Irma,c
VI-00011,09/16/2017,Hurricane Maria,c
PR-00031,09/20/2017,Hurricane Maria,c
FL-00131,09/21/2017,Hurricane Irma,c
CA-00277,09/26/2017,Helena Fire,c
FL-00132,09/27/2017,Hurricane Irma,c
GA-00101,09/28/2017,Hurricane Irma,c
AK-00043,10/01/2019,McKinley Wildland Fire,c
TX-00525,10/04/2019,Tropical Storm Imelda,c
IL-00058,10/10/2019,Severe Storms and Flooding,c
NC-00111,10/16/2019,Hurricane Dorian,c
FL-00146,10/21/2019,Hurricane Dorian,c
CA-00309,10/25/2019,Sandalwood Fire,c
FL-00147,11/13/2019,Tornadoes as a result of Tropical Storm Nestor,c
IL-00054,11/14/2019,Severe Storms and Flooding,c
TX-00528,11/14/2019,"Severe Storms, Straight-line Winds, Hail and Tornado",c
SD-00098,09/09/2019,"Severe Storms, Tornadoes, and Flooding",c
SD-00099,11/18/2019,"Severe Storms, Tornadoes, and Flooding",c
MS-00113,11/19/2019,Flash Flooding,c
PA-00103,12/11/2019,Severe Storms and High Winds,c
TN-00116,12/17/2019,Severe Storms associated with the remnants of Tropical Storm Olga,c
MS-00116,12/30/2019,Tropical Storm Olga,c
TX-00536,12/30/2019,Petrochemical Plant Explosion,n
TX-00537,12/31/2019,Sable Ridge Condominium Complex Fire,n
PR-00034,01/16/2020,Earthquakes,n
MS-00118,01/28/2020,Severe Weather and Tornado,c
MS-00120,02/06/2020,Severe Weather and Tornadoes,c
LA-00100,02/11/2020,Severe Storms and a Tornado,c
TX-00542,02/13/2020,Watson Grinding and Manufacturing Facility Explosion,n
AR-00108,02/21/2020,Severe Storms and Tornadoes,c
NY-00190,02/25/2020,"Severe Storms, Flooding and Straight-Line Winds",c
TN-00118,03/05/2020,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",c
PR-00035,03/11/2020,Earthquakes,n
TN-00120,03/24/2020,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",c
OR-00100,05/09/2023,"Severe Storms, Straight-line Winds, Flooding, Landslides, and Mudslides",c
MS-00123,03/12/2020,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",c
MS-00124,04/12/2020,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",c
MS-00125,04/23/2020,"Severe Storms, Flooding, and Mudslides",c
KY-00081,04/24/2020,"Severe Storms, Flooding, Landslides, and Mudslides",c
TN-00121,04/24/2020,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",c
TN-00122,04/24/2020,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",c
SC-00071,05/01/2020,"Severe Storms, Tornadoes, and Straight-line Winds",c
MS-00127,05/08/2020,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",c
LA-00102,05/13/2020,Severe Storms and Tornadoes,c
AR-00112,05/21/2020,"Severe Storms, Tornadoes and Straight-line Winds",c
MS-00126,05/21/2020,Severe Storms and Tornado,c
GA-00117,05/21/2020,"Thunderstorms, Excessive Rainfall, and Tornadoes",c
PA-00105,05/22/2020,Apartment Complex Fire,n
TX-00550,06/01/2020,Severe Storms and Tornadoes,c
KY-00079,06/01/2020,"Severe Storms, Flooding, Flash Flooding, Landslides and Mudslides",c
AR-00113,06/17/2020,Severe Storms and Straight-line Winds,c
CA-00319,06/17/2020,Civil Unrest,n
TX-00557,06/23/2020,"Severe Storms, Flooding and a Tornado",c
IL-00060,06/23/2020,Civil Unrest,n
MI-00085,06/29/2020,Severe Storms and Flooding,c
MI-00084,07/09/2020,Severe Storms and Flooding,c
MI-00086,07/09/2020,Severe Storms and Flooding,c
UT-00068,07/09/2020,Earthquake and Aftershocks,n
TN-00123,07/09/2020,"Severe Storms, Straight-line Winds, and Flooding",c
MS-00129,07/09/2020,"Severe Storms, Tornadoes, Straight-line Winds, and Flooding",c
AR-00115,07/10/2020,Severe Storms and Straight-line Winds,c
OH-00079,07/20/2020,Severe Storms and Flooding,c
CA-00324,07/27/2020,Niland Fire,c
MN-00081,08/03/2020,Civil Unrest,n
WI-00073,08/04/2020,Severe Storms and Flooding,c
PA-00106,08/07/2020,Civil Unrest,n
TN-00124,08/07/2020,Flooding,c
IN-00074,08/21/2023,"Wildfires, including High Winds",c
FL-00156,08/13/2020,Flash Flooding,c
PA-00107,08/17/2020,Apartment Complex Fire,n
IA-00093,08/17/2020,Severe Storms,c
MO-00106,08/19/2020,"Severe Storms, Flooding and Flash Flooding",c
IL-00061,08/19/2020,Severe Storms and Flash Flooding,c
NC-00117,08/20/2020,Hurricane Isaias,c
IA-00092,08/20/2020,Severe Storms,c
CA-00325,08/14/2020,Wildfires,c
NC-00118,08/27/2020,Earthquake,n
